
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Demo data                                           

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.52     0.00    -0.10    -0.00    -0.23    -0.01     1.01    -1.00     0.03     0.00    -0.15     0.00   620.27   568.27
     0.00 -1000.00     0.00    -0.52    -0.00     0.09     0.00     0.23     0.01     0.99    -1.00    -0.03    -0.00     0.15    -0.00   510.76   562.46
     0.00     0.00  1000.00     0.00     0.52     0.00     0.10    -0.01    -0.23     1.00    -1.01     0.00     0.03    -0.00     0.15   568.27   620.27
     0.00     0.00 -1000.00    -0.00    -0.52    -0.00    -0.09     0.01     0.23     1.00    -0.99    -0.00    -0.03     0.00    -0.15   562.46   510.76
     5.00  1000.00     0.00     0.23    -0.28    -0.45     0.36     4.18     4.39     1.10    -1.08    -0.04    -0.07    -0.16     0.02   759.20   708.90
     5.00 -1000.00     0.00    -0.80    -0.29    -0.27     0.36     4.62     4.42     1.07    -1.08    -0.10    -0.07     0.13     0.02   652.86   702.90
     5.00     0.00  1000.00    -0.28     0.23    -0.36     0.45     4.39     4.18     1.08    -1.10    -0.07    -0.04    -0.02     0.16   708.90   759.20
     5.00     0.00 -1000.00    -0.29    -0.80    -0.36     0.27     4.42     4.62     1.08    -1.07    -0.07    -0.10    -0.02    -0.13   702.90   652.86
    10.00  1000.00     0.00    -0.05    -0.56    -0.88     0.79     8.55     8.76     1.19    -1.18    -0.10    -0.13    -0.18     0.04   907.58   858.86
    10.00 -1000.00     0.00    -1.08    -0.56    -0.70     0.79     8.98     8.78     1.16    -1.18    -0.17    -0.14     0.11     0.03   804.25   852.74
    10.00     0.00  1000.00    -0.56    -0.05    -0.79     0.88     8.76     8.55     1.18    -1.19    -0.13    -0.10    -0.04     0.18   858.86   907.58
    10.00     0.00 -1000.00    -0.56    -1.08    -0.79     0.70     8.78     8.98     1.18    -1.16    -0.14    -0.17    -0.03    -0.11   852.74   804.25
    15.00  1000.00     0.00    -0.32    -0.83    -1.37     1.29    12.88    13.08     1.29    -1.28    -0.17    -0.20    -0.20     0.06  1065.57  1018.32
    15.00 -1000.00     0.00    -1.35    -0.83    -1.20     1.29    13.30    13.10     1.27    -1.28    -0.23    -0.20     0.09     0.06   965.10  1012.15
    15.00     0.00  1000.00    -0.83    -0.32    -1.29     1.37    13.08    12.88     1.28    -1.29    -0.20    -0.17    -0.06     0.20  1018.32  1065.57
    15.00     0.00 -1000.00    -0.83    -1.35    -1.29     1.20    13.10    13.30     1.28    -1.27    -0.20    -0.23    -0.06    -0.09  1012.15   965.10
    20.00  1000.00     0.00    -0.58    -1.10    -1.93     1.84    17.17    17.36     1.40    -1.39    -0.23    -0.26    -0.23     0.08  1233.30  1187.41
    20.00 -1000.00     0.00    -1.61    -1.10    -1.77     1.85    17.57    17.38     1.37    -1.39    -0.29    -0.26     0.06     0.08  1135.54  1181.26
    20.00     0.00  1000.00    -1.10    -0.58    -1.84     1.93    17.36    17.17     1.39    -1.40    -0.26    -0.23    -0.08     0.23  1187.41  1233.30
    20.00     0.00 -1000.00    -1.10    -1.61    -1.85     1.77    17.38    17.57     1.39    -1.37    -0.26    -0.29    -0.08    -0.06  1181.26  1135.54
    25.00  1000.00     0.00    -0.84    -1.35    -2.55     2.47    21.41    21.59     1.51    -1.50    -0.28    -0.31    -0.25     0.11  1410.89  1366.26
    25.00 -1000.00     0.00    -1.87    -1.35    -2.39     2.47    21.80    21.62     1.49    -1.50    -0.34    -0.32     0.04     0.11  1315.70  1360.18
