
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Demo data                                           

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.09     0.00     0.09    -0.00    -0.22    -0.04     0.99    -1.00     0.00     0.00     0.03     0.00   620.60   574.44
     0.00 -1000.00     0.00     0.09    -0.00    -0.09     0.00     0.23     0.04     1.01    -1.00    -0.00    -0.00    -0.03    -0.00   508.90   556.08
     0.00     0.00  1000.00    -0.00     0.09    -0.00     0.09     0.04     0.23     1.00    -1.01    -0.00    -0.00     0.00     0.03   556.08   508.90
     0.00     0.00 -1000.00     0.00    -0.09     0.00    -0.09    -0.04    -0.22     1.00    -0.99     0.00     0.00    -0.00    -0.03   574.44   620.60
     5.00  1000.00     0.00    -0.38    -0.28    -0.26     0.36     4.13     4.36     1.08    -1.08    -0.07    -0.07     0.02     0.02   772.62   717.24
     5.00 -1000.00     0.00    -0.19    -0.29    -0.46     0.37     4.68     4.45     1.09    -1.08    -0.07    -0.07    -0.05     0.02   637.74   694.30
     5.00     0.00  1000.00    -0.29    -0.19    -0.37     0.46     4.45     4.68     1.08    -1.09    -0.07    -0.07    -0.02     0.05   694.30   637.74
     5.00     0.00 -1000.00    -0.28    -0.38    -0.36     0.26     4.36     4.13     1.08    -1.08    -0.07    -0.07    -0.02    -0.02   717.24   772.62
    10.00  1000.00     0.00    -0.65    -0.56    -0.68     0.78     8.45     8.71     1.17    -1.18    -0.13    -0.13    -0.00     0.04   933.39   869.54
    10.00 -1000.00     0.00    -0.47    -0.56    -0.90     0.80     9.09     8.83     1.19    -1.18    -0.14    -0.14    -0.07     0.03   776.61   841.76
    10.00     0.00  1000.00    -0.56    -0.47    -0.80     0.90     8.83     9.09     1.18    -1.19    -0.14    -0.14    -0.03     0.07   841.76   776.61
    10.00     0.00 -1000.00    -0.56    -0.65    -0.78     0.68     8.71     8.45     1.18    -1.17    -0.13    -0.13    -0.04     0.00   869.54   933.39
    15.00  1000.00     0.00    -0.92    -0.83    -1.17     1.28    12.74    13.02     1.27    -1.28    -0.19    -0.20    -0.02     0.06  1103.12  1031.46
    15.00 -1000.00     0.00    -0.75    -0.84    -1.41     1.30    13.45    13.16     1.29    -1.28    -0.20    -0.20    -0.09     0.06   925.60   998.66
    15.00     0.00  1000.00    -0.84    -0.75    -1.30     1.41    13.16    13.45     1.28    -1.29    -0.20    -0.20    -0.06     0.09   998.66   925.60
    15.00     0.00 -1000.00    -0.83    -0.92    -1.28     1.17    13.02    12.74     1.28    -1.27    -0.20    -0.19    -0.06     0.02  1031.46  1103.12
    20.00  1000.00     0.00    -1.18    -1.09    -1.72     1.83    16.98    17.29     1.37    -1.39    -0.25    -0.25    -0.05     0.08  1281.99  1203.12
    20.00 -1000.00     0.00    -1.02    -1.10    -1.98     1.86    17.77    17.45     1.40    -1.39    -0.26    -0.26    -0.12     0.08  1084.81  1165.15
    20.00     0.00  1000.00    -1.10    -1.02    -1.86     1.98    17.45    17.77     1.39    -1.40    -0.26    -0.26    -0.08     0.12  1165.15  1084.81
    20.00     0.00 -1000.00    -1.09    -1.18    -1.83     1.72    17.29    16.98     1.39    -1.37    -0.25    -0.25    -0.08     0.05  1203.12  1281.99
    25.00  1000.00     0.00    -1.43    -1.35    -2.33     2.45    21.17    21.52     1.49    -1.50    -0.31    -0.31    -0.07     0.11  1470.13  1384.61
    25.00 -1000.00     0.00    -1.28    -1.36    -2.61     2.49    22.05    21.70     1.52    -1.50    -0.32    -0.32    -0.14     0.11  1254.32  1341.38
