
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Demo data                                           

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.46    -0.03    -0.54     0.08     6.61     0.71     1.14    -1.00    -0.09    -0.03    -0.03    -0.01     0.00   392.55
     0.00 -1000.00     0.00     0.23     0.01     0.21    -0.04    -3.29    -0.32     0.94    -1.00     0.05     0.01     0.01     0.01  1375.19   644.81
     0.00     0.00  1000.00    -0.03    -0.46    -0.08     0.54     0.71     6.61     1.00    -1.14    -0.03    -0.09     0.01     0.03   392.55     0.00
     0.00     0.00 -1000.00     0.01     0.23     0.04    -0.21    -0.32    -3.29     1.00    -0.94     0.01     0.05    -0.01    -0.01   644.81  1375.19
     5.00  1000.00     0.00    -0.57    -0.30    -0.75     0.43     8.59     4.89     1.18    -1.08    -0.12    -0.09    -0.04     0.01     0.00   587.32
     5.00 -1000.00     0.00    -0.06    -0.27    -0.10     0.32     1.18     4.05     1.02    -1.08    -0.02    -0.05    -0.01     0.02  1499.95   792.36
     5.00     0.00  1000.00    -0.30    -0.57    -0.43     0.75     4.89     8.59     1.08    -1.18    -0.09    -0.12    -0.01     0.04   587.32     0.00
     5.00     0.00 -1000.00    -0.27    -0.06    -0.32     0.10     4.05     1.18     1.08    -1.02    -0.05    -0.02    -0.02     0.01   792.36  1499.95
    10.00  1000.00     0.00    -0.78    -0.58    -1.12     0.85    11.87     9.16     1.25    -1.18    -0.17    -0.15    -0.05     0.03    92.02   760.59
    10.00 -1000.00     0.00    -0.34    -0.55    -0.49     0.74     5.61     8.39     1.11    -1.18    -0.09    -0.12    -0.02     0.04  1634.58   948.67
    10.00     0.00  1000.00    -0.58    -0.78    -0.85     1.12     9.16    11.87     1.18    -1.25    -0.15    -0.17    -0.03     0.05   760.59    92.02
    10.00     0.00 -1000.00    -0.55    -0.34    -0.74     0.49     8.39     5.61     1.18    -1.11    -0.12    -0.09    -0.04     0.02   948.67  1634.58
    15.00  1000.00     0.00    -1.04    -0.85    -1.66     1.36    16.13    13.50     1.36    -1.28    -0.23    -0.22    -0.07     0.05   265.65   914.47
    15.00 -1000.00     0.00    -0.62    -0.82    -0.94     1.22     9.99    12.69     1.20    -1.28    -0.16    -0.18    -0.04     0.06  1779.20  1113.91
    15.00     0.00  1000.00    -0.85    -1.04    -1.36     1.66    13.50    16.13     1.28    -1.36    -0.22    -0.23    -0.05     0.07   914.47   265.65
    15.00     0.00 -1000.00    -0.82    -0.62    -1.22     0.94    12.69     9.99     1.28    -1.20    -0.18    -0.16    -0.06     0.04  1113.91  1779.20
    20.00  1000.00     0.00    -1.30    -1.11    -2.26     1.93    20.35    17.80     1.47    -1.39    -0.29    -0.28    -0.10     0.08   448.54  1078.55
    20.00 -1000.00     0.00    -0.89    -1.08    -1.46     1.77    14.33    16.95     1.30    -1.38    -0.22    -0.24    -0.06     0.09  1933.96  1288.26
    20.00     0.00  1000.00    -1.11    -1.30    -1.93     2.26    17.80    20.35     1.39    -1.47    -0.28    -0.29    -0.08     0.10  1078.55   448.54
    20.00     0.00 -1000.00    -1.08    -0.89    -1.77     1.46    16.95    14.33     1.38    -1.30    -0.24    -0.22    -0.09     0.06  1288.26  1933.96
    25.00  1000.00     0.00    -1.55    -1.37    -2.92     2.56    24.53    22.06     1.59    -1.51    -0.34    -0.33    -0.13     0.10   640.82  1252.91
    25.00 -1000.00     0.00    -1.15    -1.34    -2.04     2.38    18.63    21.17     1.41    -1.50    -0.28    -0.30    -0.09     0.11  2098.92  1471.88
