
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             Demo data                                           

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00     0.00    -1.00     0.00     0.00    -0.00     5.45     5.45     0.00   -17.81    -3.44    21.97    25.38    10.62
     5.00     0.97    -1.08     0.18     0.29    -0.00     5.15     0.71     0.00   -17.41    -3.46    22.05    25.75    10.70
    10.00     2.10    -1.18     0.32     0.56     0.00     4.83    -4.02     0.00   -17.00    -3.47    22.15    26.12    10.78
    15.00     3.39    -1.28     0.41     0.83     0.00     4.49    -8.72     0.00   -16.58    -3.48    22.25    26.46    10.86
    20.00     4.84    -1.39     0.46     1.10    -0.00     4.15   -13.39     0.00   -16.14    -3.50    22.36    26.79    10.94
    25.00     6.44    -1.50     0.48     1.35    -0.00     3.81   -18.03     0.00   -15.69    -3.51    22.47    27.11    11.02
    30.00     8.19    -1.63     0.46     1.61    -0.00     3.47   -22.62     0.00   -15.23    -3.52    22.60    27.40    11.09
    35.00    10.07    -1.76     0.40     1.85    -0.00     3.15   -27.16     0.00   -14.75    -3.53    22.73    27.68    11.17
    40.00    12.09    -1.90     0.31     2.09     0.00     2.84   -31.64     0.00   -14.25    -3.55    22.86    27.95    11.24
     0.00     0.00    -1.00     0.00     0.00    -0.00     5.45     5.45     0.00   -17.81    -3.44    21.97    25.38    10.62
    -5.00    -0.79    -0.93    -0.22    -0.29    -0.00     5.72    10.20     0.00   -18.20    -3.43    21.89    24.98    10.54
   -10.00    -1.41    -0.86    -0.49    -0.59    -0.00     5.96    14.95     0.00   -18.57    -3.41    21.82    24.57    10.45
   -15.00    -1.85    -0.81    -0.80    -0.90    -0.00     6.15    19.68     0.00   -18.93    -3.40    21.77    24.14    10.37
   -20.00    -2.10    -0.76    -1.17    -1.22    -0.00     6.27    24.37     0.00   -19.29    -3.38    21.72    23.69    10.28
   -25.00    -2.16    -0.73    -1.55    -1.52     0.00     6.31    28.78     0.00   -19.61    -3.37    21.68    23.25    10.20
   -30.00    -2.16    -0.73    -1.55    -1.52     0.00     6.31    28.78     0.00   -19.61    -3.37    21.68    23.25    10.20
   -35.00    -2.16    -0.73    -1.55    -1.52     0.00     6.31    28.78     0.00   -19.61    -3.37    21.68    23.25    10.20
   -40.00    -2.16    -0.73    -1.55    -1.52     0.00     6.31    28.78     0.00   -19.61    -3.37    21.68    23.25    10.20
