
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00    -0.00     5.45     5.45     0.00     0.00    -1.00    -1.00    -0.00     0.00     0.00   565.35   565.35
     0.00     5.00    37.61     5.21     3.00    -0.39     1.35    -1.00    -1.08    -0.13     0.41     3.97   464.12   811.38
     0.00    10.00   315.01     3.63    -0.76    -0.80     2.87    -1.00    -1.17    -0.25     0.84     7.86   358.77  1078.72
     0.00    15.00  -234.41     6.65     0.12    -1.21     4.54    -1.00    -1.27    -0.38     1.29    11.66   249.59  1366.25
     0.00    20.00  -128.00     6.02    -2.63    -1.64     6.35    -1.00    -1.37    -0.49     1.75    15.38   136.85  1672.95
     0.00    25.00  -101.41     5.83    -4.90    -2.07     8.28    -1.00    -1.48    -0.61     2.22    19.02    20.73  1997.93
     0.00    30.00   -72.72     5.33    -8.52    -1.89    10.17    -1.04    -1.60    -0.66     4.60    22.82     0.00  2284.35
     0.00    35.00   -56.76     4.92   -12.26    -1.52    12.14    -1.09    -1.72    -0.70     7.37    26.61     0.00  2571.45
     0.00    40.00   -47.38     4.57   -15.90    -1.09    14.22    -1.14    -1.85    -0.73    10.13    30.36     0.00  2870.63
     0.00     0.00    -0.00     5.45     5.45     0.00     0.00    -1.00    -1.00    -0.00     0.00     0.00   565.35   565.35
     0.00    -5.00   -13.73     5.56     7.80     0.38    -1.17    -1.00    -0.92     0.13    -0.40    -4.07   662.10   341.90
     0.00   -10.00   -19.81     5.61    10.15     0.74    -2.15    -1.00    -0.86     0.27    -0.77    -8.24   753.90   142.40
     0.00   -15.00   -21.96     5.64    12.05     1.02    -2.77    -1.00    -0.81     0.38    -1.06   -11.68   823.95     0.00
     0.00   -20.00   -21.96     5.64    12.05     1.02    -2.77    -1.00    -0.81     0.38    -1.06   -11.68   823.95     0.00
     0.00   -25.00   -21.96     5.64    12.05     1.02    -2.77    -1.00    -0.81     0.38    -1.06   -11.68   823.95     0.00
     0.00   -30.00   -21.96     5.64    12.05     1.02    -2.77    -1.00    -0.81     0.38    -1.06   -11.68   823.95     0.00
