
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics Design Position                             Demo data                                           

  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

     0.00    -0.00     0.00    -1.00    -3.44     0.00     0.00    -0.00    -0.00     0.00     0.00    74.48 ******** ********
    10.00     2.94     2.92    -0.43    -3.63    -0.65     2.79     0.15     0.02     0.13    10.38    71.78    61.19    61.69
    20.00     5.90     5.84     0.21    -3.81    -2.60     5.33     0.56     0.06     0.50    10.81    69.14    30.69    31.24
    30.00     8.88     8.75     0.92    -4.01    -5.85     7.67     1.21     0.14     1.08    11.19    66.57    20.52    21.13
    40.00    11.90    11.66     1.69    -4.22   -10.39     9.83     2.07     0.24     1.83    11.52    64.05    15.44    16.10
    50.00    14.96    14.59     2.54    -4.46   -16.20    11.85     3.10     0.37     2.74    11.78    61.60    12.39    13.11
    60.00    18.05    17.54     3.47    -4.75   -23.26    13.76     4.30     0.51     3.78    11.96    59.21    10.36    11.13
    70.00    21.20    20.52     4.47    -5.09   -31.55    15.57     5.63     0.68     4.95    12.03    56.87     8.90     9.73
     0.00    -0.00     0.00    -1.00    -3.44     0.00     0.00    -0.00    -0.00     0.00     0.00    74.48 ******** ********
   -10.00    -2.92    -2.94    -1.51    -3.25    -0.65    -2.79    -0.15    -0.02    -0.13    10.38    77.25    61.19    61.69
   -20.00    -5.84    -5.90    -1.95    -3.04    -2.60    -5.33    -0.56    -0.06    -0.50    10.81    80.09    30.69    31.24
   -30.00    -8.75    -8.88    -2.33    -2.81    -5.85    -7.67    -1.21    -0.14    -1.08    11.19    83.01    20.52    21.13
   -40.00   -11.66   -11.90    -2.65    -2.56   -10.39    -9.83    -2.07    -0.24    -1.83    11.52    86.02    15.44    16.10
   -50.00   -14.59   -14.96    -2.91    -2.28   -16.20   -11.85    -3.10    -0.37    -2.74    11.78    89.11    12.39    13.11
   -60.00   -17.54   -18.05    -3.10    -1.97   -23.26   -13.76    -4.30    -0.51    -3.78    11.96    92.30    10.36    11.13
   -70.00   -20.52   -21.20    -3.23    -1.63   -31.55   -15.57    -5.63    -0.68    -4.95    12.03    95.59     8.90     9.73
