
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Demo data                                           

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.02     0.00    -0.01    -0.00     0.11    -0.00     1.02    -1.00     0.02     0.00    -0.03     0.00   537.60   565.60
     0.00  -100.00     0.00    -0.02    -0.00     0.01     0.00    -0.11     0.00     0.98    -1.00    -0.02    -0.00     0.03    -0.00   593.05   565.09
     0.00     0.00   100.00    -0.00    -0.02    -0.00    -0.01     0.00    -0.11     1.00    -0.98    -0.00    -0.02     0.00    -0.03   565.09   593.05
     0.00     0.00  -100.00     0.00     0.02     0.00     0.01    -0.00     0.11     1.00    -1.02     0.00     0.02    -0.00     0.03   565.60   537.60
     5.00   100.00     0.00    -0.26    -0.28    -0.37     0.36     4.52     4.41     1.10    -1.08    -0.04    -0.07    -0.05     0.02   675.36   705.81
     5.00  -100.00     0.00    -0.31    -0.28    -0.35     0.36     4.29     4.40     1.06    -1.08    -0.09    -0.07     0.02     0.02   736.34   705.94
     5.00     0.00   100.00    -0.28    -0.31    -0.36     0.35     4.40     4.29     1.08    -1.06    -0.07    -0.09    -0.02    -0.02   705.94   736.34
     5.00     0.00  -100.00    -0.28    -0.26    -0.36     0.37     4.41     4.52     1.08    -1.10    -0.07    -0.04    -0.02     0.05   705.81   675.36
    10.00   100.00     0.00    -0.54    -0.56    -0.81     0.79     8.90     8.77     1.20    -1.18    -0.11    -0.14    -0.07     0.03   822.67   855.35
    10.00  -100.00     0.00    -0.58    -0.56    -0.78     0.79     8.64     8.77     1.15    -1.18    -0.16    -0.13    -0.00     0.03   888.83   856.21
    10.00     0.00   100.00    -0.56    -0.58    -0.79     0.78     8.77     8.64     1.18    -1.15    -0.13    -0.16    -0.03     0.00   856.21   888.83
    10.00     0.00  -100.00    -0.56    -0.54    -0.79     0.81     8.77     8.90     1.18    -1.20    -0.14    -0.11    -0.03     0.07   855.35   822.67
    15.00   100.00     0.00    -0.81    -0.83    -1.31     1.29    13.23    13.09     1.30    -1.28    -0.17    -0.20    -0.09     0.06   979.65  1014.39
    15.00  -100.00     0.00    -0.85    -0.83    -1.27     1.29    12.95    13.09     1.26    -1.28    -0.22    -0.20    -0.02     0.06  1050.71  1016.05
    15.00     0.00   100.00    -0.83    -0.85    -1.29     1.27    13.09    12.95     1.28    -1.26    -0.20    -0.22    -0.06     0.02  1016.05  1050.71
    15.00     0.00  -100.00    -0.83    -0.81    -1.29     1.31    13.09    13.23     1.28    -1.30    -0.20    -0.17    -0.06     0.09  1014.39   979.65
    20.00   100.00     0.00    -1.08    -1.10    -1.87     1.85    17.52    17.38     1.41    -1.39    -0.23    -0.26    -0.11     0.08  1146.44  1183.06
    20.00  -100.00     0.00    -1.12    -1.10    -1.82     1.85    17.22    17.37     1.36    -1.39    -0.28    -0.26    -0.05     0.08  1222.12  1185.58
    20.00     0.00   100.00    -1.10    -1.12    -1.85     1.82    17.37    17.22     1.39    -1.36    -0.26    -0.28    -0.08     0.05  1185.58  1222.12
    20.00     0.00  -100.00    -1.10    -1.08    -1.85     1.87    17.38    17.52     1.39    -1.41    -0.26    -0.23    -0.08     0.11  1183.06  1146.44
    25.00   100.00     0.00    -1.34    -1.35    -2.49     2.47    21.76    21.61     1.52    -1.50    -0.29    -0.31    -0.14     0.11  1323.14  1361.49
    25.00  -100.00     0.00    -1.37    -1.35    -2.44     2.47    21.45    21.60     1.48    -1.50    -0.34    -0.31    -0.07     0.11  1403.18  1364.91
    25.00     0.00   100.00    -1.35    -1.37    -2.47     2.44    21.60    21.45     1.50    -1.48    -0.31    -0.34    -0.11     0.07  1364.91  1403.18
    25.00     0.00  -100.00    -1.35    -1.34    -2.47     2.49    21.61    21.76     1.50    -1.52    -0.31    -0.29    -0.11     0.14  1361.49  1323.14
    30.00   100.00     0.00    -1.59    -1.61    -3.18     3.15    25.97    25.81     1.65    -1.63    -0.34    -0.37    -0.17     0.14  1509.82  1549.78
    30.00  -100.00     0.00    -1.62    -1.60    -3.12     3.15    25.64    25.79     1.60    -1.63    -0.39    -0.37    -0.10     0.14  1594.01  1554.15
    30.00     0.00   100.00    -1.60    -1.62    -3.15     3.12    25.79    25.64     1.63    -1.60    -0.37    -0.39    -0.14     0.10  1554.15  1594.01
    30.00     0.00  -100.00    -1.61    -1.59    -3.15     3.18    25.81    25.97     1.63    -1.65    -0.37    -0.34    -0.14     0.17  1549.78  1509.82
    35.00   100.00     0.00    -1.83    -1.85    -3.92     3.89    30.12    29.96     1.78    -1.76    -0.40    -0.42    -0.20     0.17  1706.59  1748.02
    35.00  -100.00     0.00    -1.87    -1.85    -3.85     3.88    29.78    29.94     1.73    -1.76    -0.44    -0.42    -0.13     0.17  1794.71  1753.37
    35.00     0.00   100.00    -1.85    -1.87    -3.88     3.85    29.94    29.78     1.76    -1.73    -0.42    -0.44    -0.17     0.13  1753.37  1794.71
    35.00     0.00  -100.00    -1.85    -1.83    -3.89     3.92    29.96    30.12     1.76    -1.78    -0.42    -0.40    -0.17     0.20  1748.02  1706.59
    40.00   100.00     0.00    -2.07    -2.09    -4.72     4.68    34.24    34.07     1.92    -1.90    -0.44    -0.47    -0.23     0.20  1913.49  1956.30
    40.00  -100.00     0.00    -2.10    -2.09    -4.64     4.68    33.87    34.04     1.87    -1.90    -0.49    -0.47    -0.17     0.20  2005.37  1962.65
    40.00     0.00   100.00    -2.09    -2.10    -4.68     4.64    34.04    33.87     1.90    -1.87    -0.47    -0.49    -0.20     0.17  1962.65  2005.37
    40.00     0.00  -100.00    -2.09    -2.07    -4.68     4.72    34.07    34.24     1.90    -1.92    -0.47    -0.44    -0.20     0.23  1956.30  1913.49
    -5.00   100.00     0.00     0.32     0.29     0.28    -0.29    -4.35    -4.45     0.95    -0.93     0.10     0.07    -0.02    -0.01   409.21   434.53
    -5.00  -100.00     0.00     0.27     0.29     0.30    -0.29    -4.54    -4.44     0.91    -0.93     0.05     0.07     0.05    -0.01   458.76   433.48
    -5.00     0.00   100.00     0.29     0.27     0.29    -0.30    -4.44    -4.54     0.93    -0.91     0.07     0.05     0.01    -0.05   433.48   458.76
    -5.00     0.00  -100.00     0.29     0.32     0.29    -0.28    -4.45    -4.35     0.93    -0.95     0.07     0.10     0.01     0.02   434.53   409.21
   -10.00   100.00     0.00     0.62     0.59     0.50    -0.51    -8.85    -8.93     0.88    -0.86     0.17     0.15    -0.01    -0.02   289.98   312.35
   -10.00  -100.00     0.00     0.57     0.59     0.51    -0.51    -9.01    -8.93     0.84    -0.86     0.12     0.15     0.06    -0.02   333.23   310.88
   -10.00     0.00   100.00     0.59     0.57     0.51    -0.51    -8.93    -9.01     0.86    -0.84     0.15     0.12     0.02    -0.06   310.88   333.23
   -10.00     0.00  -100.00     0.59     0.62     0.51    -0.50    -8.93    -8.85     0.86    -0.88     0.15     0.17     0.02     0.01   312.35   289.98
   -15.00   100.00     0.00     0.93     0.90     0.64    -0.65   -13.38   -13.46     0.83    -0.81     0.25     0.23    -0.00    -0.03   179.65   198.77
   -15.00  -100.00     0.00     0.87     0.90     0.65    -0.65   -13.52   -13.45     0.79    -0.81     0.20     0.23     0.07    -0.03   216.16   197.03
   -15.00     0.00   100.00     0.90     0.87     0.65    -0.65   -13.45   -13.52     0.81    -0.79     0.23     0.20     0.03    -0.07   197.03   216.16
   -15.00     0.00  -100.00     0.90     0.93     0.65    -0.64   -13.46   -13.38     0.81    -0.83     0.23     0.25     0.03     0.00   198.77   179.65
   -20.00   100.00     0.00     1.24     1.22     0.70    -0.71   -17.96   -18.02     0.78    -0.76     0.33     0.31    -0.00    -0.03    77.91    93.46
   -20.00  -100.00     0.00     1.19     1.22     0.71    -0.71   -18.07   -18.01     0.74    -0.76     0.28     0.31     0.07    -0.04   107.18    91.59
   -20.00     0.00   100.00     1.22     1.19     0.71    -0.71   -18.01   -18.07     0.76    -0.74     0.31     0.28     0.04    -0.07    91.59   107.18
   -20.00     0.00  -100.00     1.22     1.24     0.71    -0.70   -18.02   -17.96     0.76    -0.78     0.31     0.33     0.03     0.00    93.46    77.91
   -25.00   100.00     0.00     1.52     1.51     0.69    -0.69   -21.94   -22.26     0.75    -0.73     0.41     0.38    -0.00    -0.04     0.00     0.00
   -25.00  -100.00     0.00     1.51     1.53     0.69    -0.69   -22.64   -22.42     0.71    -0.73     0.36     0.39     0.07    -0.04     3.92     0.00
   -25.00     0.00   100.00     1.53     1.51     0.69    -0.69   -22.42   -22.64     0.73    -0.71     0.39     0.36     0.04    -0.07     0.00     3.92
   -25.00     0.00  -100.00     1.51     1.52     0.69    -0.69   -22.26   -21.94     0.73    -0.75     0.38     0.41     0.04     0.00     0.00     0.00
   -30.00   100.00     0.00     1.52     1.51     0.69    -0.69   -21.94   -22.26     0.75    -0.73     0.41     0.38    -0.00    -0.04     0.00     0.00
   -30.00  -100.00     0.00     1.52     1.53     0.69    -0.69   -22.78   -22.47     0.71    -0.73     0.37     0.39     0.07    -0.04     0.00     0.00
   -30.00     0.00   100.00     1.53     1.52     0.69    -0.69   -22.47   -22.78     0.73    -0.71     0.39     0.37     0.04    -0.07     0.00     0.00
   -30.00     0.00  -100.00     1.51     1.52     0.69    -0.69   -22.26   -21.94     0.73    -0.75     0.38     0.41     0.04     0.00     0.00     0.00
   -35.00   100.00     0.00     1.52     1.51     0.69    -0.69   -21.94   -22.26     0.75    -0.73     0.41     0.38    -0.00    -0.04     0.00     0.00
   -35.00  -100.00     0.00     1.52     1.53     0.69    -0.69   -22.78   -22.47     0.71    -0.73     0.37     0.39     0.07    -0.04     0.00     0.00
   -35.00     0.00   100.00     1.53     1.52     0.69    -0.69   -22.47   -22.78     0.73    -0.71     0.39     0.37     0.04    -0.07     0.00     0.00
   -35.00     0.00  -100.00     1.51     1.52     0.69    -0.69   -22.26   -21.94     0.73    -0.75     0.38     0.41     0.04     0.00     0.00     0.00
   -40.00   100.00     0.00     1.52     1.51     0.69    -0.69   -21.94   -22.26     0.75    -0.73     0.41     0.38    -0.00    -0.04     0.00     0.00
   -40.00  -100.00     0.00     1.52     1.53     0.69    -0.69   -22.78   -22.47     0.71    -0.73     0.37     0.39     0.07    -0.04     0.00     0.00
   -40.00     0.00   100.00     1.53     1.52     0.69    -0.69   -22.47   -22.78     0.73    -0.71     0.39     0.37     0.04    -0.07     0.00     0.00
   -40.00     0.00  -100.00     1.51     1.52     0.69    -0.69   -22.26   -21.94     0.73    -0.75     0.38     0.41     0.04     0.00     0.00     0.00
