
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Demo data                                           

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.06     0.00     0.00    -0.00    -0.08    -0.03     1.02    -1.00     0.08     0.00    -0.07     0.00   583.91   571.63
     0.00  -100.00     0.00    -0.06    -0.00    -0.00     0.00     0.08     0.03     0.98    -1.00    -0.08    -0.00     0.07    -0.00   547.14   559.09
     0.00     0.00   100.00     0.00     0.06     0.00    -0.00    -0.03    -0.08     1.00    -1.02     0.00     0.08    -0.00     0.07   571.63   583.91
     0.00     0.00  -100.00    -0.00    -0.06    -0.00     0.00     0.03     0.08     1.00    -0.98    -0.00    -0.08     0.00    -0.07   559.09   547.14
     5.00   100.00     0.00    -0.23    -0.28    -0.36     0.36     4.33     4.38     1.11    -1.08     0.01    -0.07    -0.08     0.02   722.92   712.61
     5.00  -100.00     0.00    -0.34    -0.29    -0.37     0.36     4.48     4.43     1.06    -1.08    -0.15    -0.07     0.05     0.02   689.18   699.18
     5.00     0.00   100.00    -0.28    -0.23    -0.36     0.36     4.38     4.33     1.08    -1.11    -0.07     0.01    -0.02     0.08   712.61   722.92
     5.00     0.00  -100.00    -0.29    -0.34    -0.36     0.37     4.43     4.48     1.08    -1.06    -0.07    -0.15    -0.02    -0.05   699.18   689.18
    10.00   100.00     0.00    -0.51    -0.56    -0.79     0.79     8.70     8.74     1.20    -1.18    -0.06    -0.13    -0.10     0.04   871.35   862.91
    10.00  -100.00     0.00    -0.62    -0.56    -0.80     0.80     8.84     8.80     1.15    -1.18    -0.21    -0.14     0.03     0.03   840.53   848.69
    10.00     0.00   100.00    -0.56    -0.51    -0.79     0.79     8.74     8.70     1.18    -1.20    -0.13    -0.06    -0.04     0.10   862.91   871.35
    10.00     0.00  -100.00    -0.56    -0.62    -0.80     0.80     8.80     8.84     1.18    -1.15    -0.14    -0.21    -0.03    -0.03   848.69   840.53
    15.00   100.00     0.00    -0.78    -0.83    -1.28     1.28    13.03    13.06     1.30    -1.28    -0.12    -0.20    -0.12     0.06  1029.39  1022.68
    15.00  -100.00     0.00    -0.89    -0.83    -1.29     1.29    13.15    13.12     1.25    -1.28    -0.27    -0.20     0.01     0.06  1001.36  1007.79
    15.00     0.00   100.00    -0.83    -0.78    -1.28     1.28    13.06    13.03     1.28    -1.30    -0.20    -0.12    -0.06     0.12  1022.68  1029.39
    15.00     0.00  -100.00    -0.83    -0.89    -1.29     1.29    13.12    13.15     1.28    -1.25    -0.20    -0.27    -0.06    -0.01  1007.79  1001.36
    20.00   100.00     0.00    -1.04    -1.10    -1.84     1.84    17.31    17.34     1.41    -1.39    -0.18    -0.26    -0.15     0.08  1197.14  1192.07
    20.00  -100.00     0.00    -1.15    -1.10    -1.85     1.85    17.43    17.40     1.36    -1.39    -0.33    -0.26    -0.02     0.08  1171.79  1176.61
    20.00     0.00   100.00    -1.10    -1.04    -1.84     1.84    17.34    17.31     1.39    -1.41    -0.26    -0.18    -0.08     0.15  1192.07  1197.14
    20.00     0.00  -100.00    -1.10    -1.15    -1.85     1.85    17.40    17.43     1.39    -1.36    -0.26    -0.33    -0.08     0.02  1176.61  1171.79
    25.00   100.00     0.00    -1.30    -1.35    -2.46     2.46    21.55    21.57     1.53    -1.50    -0.24    -0.31    -0.17     0.11  1374.73  1371.20
    25.00  -100.00     0.00    -1.41    -1.35    -2.48     2.47    21.66    21.64     1.48    -1.50    -0.39    -0.32    -0.04     0.11  1351.95  1355.25
    25.00     0.00   100.00    -1.35    -1.30    -2.46     2.46    21.57    21.55     1.50    -1.53    -0.31    -0.24    -0.11     0.17  1371.20  1374.73
    25.00     0.00  -100.00    -1.35    -1.41    -2.47     2.48    21.64    21.66     1.50    -1.48    -0.32    -0.39    -0.11     0.04  1355.25  1351.95
    30.00   100.00     0.00    -1.55    -1.60    -3.14     3.14    25.75    25.77     1.65    -1.63    -0.29    -0.37    -0.20     0.14  1562.25  1560.17
    30.00  -100.00     0.00    -1.66    -1.61    -3.16     3.16    25.85    25.83     1.60    -1.63    -0.44    -0.37    -0.07     0.14  1541.95  1543.81
    30.00     0.00   100.00    -1.60    -1.55    -3.14     3.14    25.77    25.75     1.63    -1.65    -0.37    -0.29    -0.14     0.20  1560.17  1562.25
    30.00     0.00  -100.00    -1.61    -1.66    -3.16     3.16    25.83    25.85     1.63    -1.60    -0.37    -0.44    -0.14     0.07  1543.81  1541.95
    35.00   100.00     0.00    -1.80    -1.85    -3.88     3.88    29.91    29.92     1.78    -1.76    -0.34    -0.42    -0.23     0.17  1759.78  1759.07
    35.00  -100.00     0.00    -1.90    -1.85    -3.89     3.89    29.99    29.98     1.74    -1.76    -0.49    -0.42    -0.10     0.17  1741.87  1742.38
    35.00     0.00   100.00    -1.85    -1.80    -3.88     3.88    29.92    29.91     1.76    -1.78    -0.42    -0.34    -0.17     0.23  1759.07  1759.78
    35.00     0.00  -100.00    -1.85    -1.90    -3.89     3.89    29.98    29.99     1.76    -1.74    -0.42    -0.49    -0.17     0.10  1742.38  1741.87
    40.00   100.00     0.00    -2.04    -2.09    -4.67     4.67    34.02    34.02     1.92    -1.90    -0.39    -0.47    -0.26     0.20  1967.40  1967.99
    40.00  -100.00     0.00    -2.14    -2.09    -4.69     4.69    34.09    34.09     1.87    -1.90    -0.54    -0.47    -0.14     0.20  1951.80  1951.02
    40.00     0.00   100.00    -2.09    -2.04    -4.67     4.67    34.02    34.02     1.90    -1.92    -0.47    -0.39    -0.20     0.26  1967.99  1967.40
    40.00     0.00  -100.00    -2.09    -2.14    -4.69     4.69    34.09    34.09     1.90    -1.87    -0.47    -0.54    -0.20     0.14  1951.02  1951.80
    -5.00   100.00     0.00     0.35     0.29     0.29    -0.29    -4.53    -4.47     0.95    -0.93     0.15     0.07    -0.06    -0.01   454.16   439.78
    -5.00  -100.00     0.00     0.23     0.29     0.29    -0.29    -4.36    -4.42     0.90    -0.93    -0.01     0.07     0.08    -0.01   414.22   428.25
