
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Demo data                                           

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.26    -0.00     0.06     0.00    -0.02     0.01     0.97    -1.00    -0.07    -0.00     0.16    -0.00   573.02   563.36
     0.00  -100.00     0.00     0.26     0.00    -0.06    -0.00     0.02    -0.01     1.03    -1.00     0.07     0.00    -0.16     0.00   558.19   567.39
     0.00     0.00   100.00     0.00     0.26     0.00     0.06    -0.01     0.02     1.00    -1.03     0.00     0.07    -0.00     0.16   567.39   558.19
     0.00     0.00  -100.00    -0.00    -0.26    -0.00    -0.06     0.01    -0.02     1.00    -0.97    -0.00    -0.07     0.00    -0.16   563.36   573.02
     5.00   100.00     0.00    -0.54    -0.29    -0.30     0.36     4.38     4.41     1.05    -1.08    -0.14    -0.07     0.14     0.02   714.53   703.87
     5.00  -100.00     0.00    -0.03    -0.28    -0.42     0.36     4.43     4.40     1.12    -1.08    -0.00    -0.07    -0.18     0.02   697.69   707.94
     5.00     0.00   100.00    -0.28    -0.03    -0.36     0.42     4.40     4.43     1.08    -1.12    -0.07    -0.00    -0.02     0.18   707.94   697.69
     5.00     0.00  -100.00    -0.29    -0.54    -0.36     0.30     4.41     4.38     1.08    -1.05    -0.07    -0.14    -0.02    -0.14   703.87   714.53
    10.00   100.00     0.00    -0.82    -0.56    -0.73     0.79     8.74     8.78     1.14    -1.18    -0.20    -0.14     0.12     0.03   865.36   853.79
    10.00  -100.00     0.00    -0.31    -0.56    -0.85     0.79     8.80     8.76     1.21    -1.18    -0.07    -0.13    -0.19     0.04   846.62   857.83
    10.00     0.00   100.00    -0.56    -0.31    -0.79     0.85     8.76     8.80     1.18    -1.21    -0.13    -0.07    -0.04     0.19   857.83   846.62
