
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force X at Wheel Center                            Demo data                                           

   WhTra  ForceX_L ForceX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00     0.52     0.00    -0.10    -0.00    -0.23    -0.01     5.01    -5.00     0.03     0.00    -0.15     0.00   614.88   562.87
     0.00 -1000.00     0.00    -0.52    -0.00     0.09     0.00     0.23     0.01     4.99    -5.00    -0.03    -0.00     0.15    -0.00   505.37   557.07
     0.00     0.00  1000.00     0.00     0.52     0.00     0.10    -0.01    -0.23     5.00    -5.01     0.00     0.03    -0.00     0.15   562.87   614.88
     0.00     0.00 -1000.00    -0.00    -0.52    -0.00    -0.09     0.01     0.23     5.00    -4.99    -0.00    -0.03     0.00    -0.15   557.07   505.37
     5.00  1000.00     0.00     0.23    -0.28    -0.45     0.36     4.18     4.39     5.10    -5.08    -0.04    -0.07    -0.16     0.01   753.82   703.52
     5.00 -1000.00     0.00    -0.80    -0.29    -0.27     0.36     4.62     4.42     5.07    -5.08    -0.10    -0.07     0.14     0.01   647.49   697.52
     5.00     0.00  1000.00    -0.28     0.23    -0.36     0.45     4.39     4.18     5.08    -5.10    -0.07    -0.04    -0.01     0.16   703.52   753.82
     5.00     0.00 -1000.00    -0.29    -0.80    -0.36     0.27     4.42     4.62     5.08    -5.07    -0.07    -0.10    -0.01    -0.14   697.52   647.49
    10.00  1000.00     0.00    -0.05    -0.56    -0.88     0.79     8.55     8.76     5.19    -5.18    -0.10    -0.14    -0.17     0.03   902.23   853.51
    10.00 -1000.00     0.00    -1.08    -0.56    -0.70     0.79     8.98     8.78     5.16    -5.18    -0.17    -0.14     0.12     0.03   798.90   847.39
    10.00     0.00  1000.00    -0.56    -0.05    -0.79     0.88     8.76     8.55     5.18    -5.19    -0.14    -0.10    -0.03     0.17   853.51   902.23
    10.00     0.00 -1000.00    -0.56    -1.08    -0.79     0.70     8.78     8.98     5.18    -5.16    -0.14    -0.17    -0.03    -0.12   847.39   798.90
    15.00  1000.00     0.00    -0.32    -0.83    -1.37     1.29    12.88    13.08     5.29    -5.28    -0.17    -0.20    -0.19     0.04  1060.24  1012.99
    15.00 -1000.00     0.00    -1.35    -0.83    -1.20     1.29    13.30    13.10     5.27    -5.28    -0.23    -0.20     0.11     0.04   959.77  1006.82
    15.00     0.00  1000.00    -0.83    -0.32    -1.29     1.37    13.08    12.88     5.28    -5.29    -0.20    -0.17    -0.04     0.19  1012.99  1060.24
    15.00     0.00 -1000.00    -0.83    -1.35    -1.29     1.20    13.10    13.30     5.28    -5.27    -0.20    -0.23    -0.04    -0.11  1006.82   959.77
    20.00  1000.00     0.00    -0.58    -1.10    -1.93     1.84    17.17    17.36     5.40    -5.39    -0.23    -0.26    -0.21     0.06  1227.99  1182.10
    20.00 -1000.00     0.00    -1.61    -1.10    -1.77     1.85    17.57    17.38     5.37    -5.39    -0.29    -0.26     0.08     0.06  1130.24  1175.95
    20.00     0.00  1000.00    -1.10    -0.58    -1.84     1.93    17.36    17.17     5.39    -5.40    -0.26    -0.23    -0.06     0.21  1182.10  1227.99
    20.00     0.00 -1000.00    -1.10    -1.61    -1.85     1.77    17.38    17.57     5.39    -5.37    -0.26    -0.29    -0.06    -0.08  1175.95  1130.24
    25.00  1000.00     0.00    -0.84    -1.35    -2.55     2.47    21.41    21.59     5.51    -5.50    -0.29    -0.32    -0.23     0.09  1405.60  1360.98
    25.00 -1000.00     0.00    -1.87    -1.35    -2.39     2.47    21.80    21.62     5.49    -5.50    -0.35    -0.32     0.06     0.09  1310.42  1354.89
