
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Y at Wheel Center                            Demo data                                           

   WhTra  ForceY_L ForceY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.09     0.00     0.09    -0.00    -0.22    -0.04     4.99    -5.00     0.00     0.00     0.03     0.00   615.20   569.05
     0.00 -1000.00     0.00     0.09    -0.00    -0.09     0.00     0.23     0.04     5.01    -5.00    -0.00    -0.00    -0.03    -0.00   503.51   550.69
     0.00     0.00  1000.00    -0.00     0.09    -0.00     0.09     0.04     0.23     5.00    -5.01    -0.00    -0.00     0.00     0.03   550.69   503.51
     0.00     0.00 -1000.00     0.00    -0.09     0.00    -0.09    -0.04    -0.22     5.00    -4.99     0.00     0.00    -0.00    -0.03   569.05   615.20
     5.00  1000.00     0.00    -0.38    -0.28    -0.26     0.36     4.13     4.36     5.08    -5.08    -0.07    -0.07     0.02     0.01   767.24   711.87
     5.00 -1000.00     0.00    -0.19    -0.29    -0.46     0.37     4.68     4.45     5.09    -5.08    -0.07    -0.07    -0.05     0.01   632.37   688.92
     5.00     0.00  1000.00    -0.29    -0.19    -0.37     0.46     4.45     4.68     5.08    -5.09    -0.07    -0.07    -0.01     0.05   688.92   632.37
     5.00     0.00 -1000.00    -0.28    -0.38    -0.36     0.26     4.36     4.13     5.08    -5.08    -0.07    -0.07    -0.01    -0.02   711.87   767.24
    10.00  1000.00     0.00    -0.65    -0.56    -0.68     0.78     8.45     8.71     5.17    -5.18    -0.13    -0.13     0.01     0.03   928.04   864.18
    10.00 -1000.00     0.00    -0.47    -0.56    -0.90     0.80     9.09     8.83     5.19    -5.18    -0.14    -0.14    -0.06     0.02   771.25   836.41
    10.00     0.00  1000.00    -0.56    -0.47    -0.80     0.90     8.83     9.09     5.18    -5.19    -0.14    -0.14    -0.02     0.06   836.41   771.25
    10.00     0.00 -1000.00    -0.56    -0.65    -0.78     0.68     8.71     8.45     5.18    -5.17    -0.13    -0.13    -0.03    -0.01   864.18   928.04
    15.00  1000.00     0.00    -0.92    -0.83    -1.17     1.28    12.73    13.02     5.27    -5.28    -0.19    -0.20    -0.01     0.04  1097.79  1026.12
    15.00 -1000.00     0.00    -0.75    -0.84    -1.41     1.30    13.45    13.16     5.29    -5.28    -0.20    -0.20    -0.08     0.04   920.27   993.33
    15.00     0.00  1000.00    -0.84    -0.75    -1.30     1.41    13.16    13.45     5.28    -5.29    -0.20    -0.20    -0.04     0.08   993.33   920.27
    15.00     0.00 -1000.00    -0.83    -0.92    -1.28     1.17    13.02    12.73     5.28    -5.27    -0.20    -0.19    -0.04     0.01  1026.12  1097.79
    20.00  1000.00     0.00    -1.18    -1.09    -1.72     1.83    16.98    17.29     5.37    -5.39    -0.25    -0.26    -0.03     0.06  1276.67  1197.81
    20.00 -1000.00     0.00    -1.02    -1.10    -1.98     1.86    17.77    17.45     5.40    -5.39    -0.26    -0.26    -0.10     0.06  1079.51  1159.84
    20.00     0.00  1000.00    -1.10    -1.02    -1.86     1.98    17.45    17.77     5.39    -5.40    -0.26    -0.26    -0.06     0.10  1159.84  1079.51
    20.00     0.00 -1000.00    -1.09    -1.18    -1.83     1.72    17.29    16.98     5.39    -5.37    -0.26    -0.25    -0.06     0.03  1197.81  1276.67
    25.00  1000.00     0.00    -1.43    -1.35    -2.33     2.45    21.17    21.52     5.49    -5.50    -0.31    -0.31    -0.05     0.09  1464.85  1379.32
    25.00 -1000.00     0.00    -1.28    -1.36    -2.61     2.49    22.05    21.70     5.52    -5.50    -0.32    -0.32    -0.12     0.08  1249.04  1336.10
