
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Force Z at Wheel Center                            Demo data                                           

   WhTra  ForceZ_L ForceZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]      [N]      [N]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00  1000.00     0.00    -0.46    -0.03    -0.55     0.08     6.69     0.71     5.14    -5.00    -0.09    -0.03    -0.03    -0.01     0.00   385.07
     0.00 -1000.00     0.00     0.23     0.01     0.21    -0.04    -3.29    -0.32     4.94    -5.00     0.05     0.01     0.00     0.01  1369.79   639.42
     0.00     0.00  1000.00    -0.03    -0.46    -0.08     0.55     0.71     6.69     5.00    -5.14    -0.03    -0.09     0.01     0.03   385.07     0.00
     0.00     0.00 -1000.00     0.01     0.23     0.04    -0.21    -0.32    -3.29     5.00    -4.94     0.01     0.05    -0.01    -0.00   639.42  1369.79
     5.00  1000.00     0.00    -0.58    -0.30    -0.76     0.43     8.66     4.90     5.18    -5.08    -0.12    -0.09    -0.03     0.00     0.00   579.79
     5.00 -1000.00     0.00    -0.06    -0.27    -0.10     0.32     1.18     4.05     5.02    -5.08    -0.02    -0.05    -0.00     0.02  1494.57   786.98
     5.00     0.00  1000.00    -0.30    -0.58    -0.43     0.76     4.90     8.66     5.08    -5.18    -0.09    -0.12    -0.00     0.03   579.79     0.00
     5.00     0.00 -1000.00    -0.27    -0.06    -0.32     0.10     4.05     1.18     5.08    -5.02    -0.05    -0.02    -0.02     0.00   786.98  1494.57
    10.00  1000.00     0.00    -0.78    -0.58    -1.12     0.85    11.87     9.16     5.25    -5.18    -0.18    -0.15    -0.04     0.02    86.67   755.24
    10.00 -1000.00     0.00    -0.34    -0.55    -0.49     0.74     5.61     8.39     5.11    -5.18    -0.09    -0.12    -0.02     0.03  1629.21   943.31
    10.00     0.00  1000.00    -0.58    -0.78    -0.85     1.12     9.16    11.87     5.18    -5.25    -0.15    -0.18    -0.02     0.04   755.24    86.67
    10.00     0.00 -1000.00    -0.55    -0.34    -0.74     0.49     8.39     5.61     5.18    -5.11    -0.12    -0.09    -0.03     0.02   943.31  1629.21
    15.00  1000.00     0.00    -1.04    -0.85    -1.66     1.36    16.13    13.50     5.36    -5.28    -0.24    -0.22    -0.06     0.04   260.33   909.14
    15.00 -1000.00     0.00    -0.62    -0.82    -0.94     1.22     9.99    12.69     5.20    -5.28    -0.16    -0.18    -0.03     0.05  1773.86  1108.57
    15.00     0.00  1000.00    -0.85    -1.04    -1.36     1.66    13.50    16.13     5.28    -5.36    -0.22    -0.24    -0.04     0.06   909.14   260.33
    15.00     0.00 -1000.00    -0.82    -0.62    -1.22     0.94    12.69     9.99     5.28    -5.20    -0.18    -0.16    -0.05     0.03  1108.57  1773.86
    20.00  1000.00     0.00    -1.30    -1.11    -2.26     1.93    20.35    17.80     5.47    -5.39    -0.29    -0.28    -0.08     0.06   443.24  1073.25
    20.00 -1000.00     0.00    -0.89    -1.08    -1.46     1.77    14.33    16.95     5.30    -5.38    -0.22    -0.24    -0.05     0.07  1928.64  1282.94
    20.00     0.00  1000.00    -1.11    -1.30    -1.93     2.26    17.80    20.35     5.39    -5.47    -0.28    -0.29    -0.06     0.08  1073.25   443.24
    20.00     0.00 -1000.00    -1.08    -0.89    -1.77     1.46    16.95    14.33     5.38    -5.30    -0.24    -0.22    -0.07     0.05  1282.94  1928.64
    25.00  1000.00     0.00    -1.55    -1.37    -2.92     2.56    24.53    22.06     5.59    -5.51    -0.35    -0.34    -0.10     0.08   635.55  1247.64
    25.00 -1000.00     0.00    -1.15    -1.34    -2.04     2.38    18.63    21.16     5.41    -5.50    -0.28    -0.30    -0.07     0.09  2093.63  1466.59
