
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Parallel Kinematics                                             Demo data                                           

   WhlTra      Toe   Camber  TrackCh  LongTra    RCLat   RCVert   RCHeig   Anti-S   Anti-D KPOffset   KPIncl   Caster  CastAng
     [mm]    [min]    [deg]     [mm]     [mm]     [mm]     [mm]     [mm]      [%]      [%]     [mm]    [deg]     [mm]    [deg]

     0.00     0.00    -5.00     0.00     0.00    -0.00     5.45     5.45     0.00   -18.23    -3.44    21.97    25.37    10.62
     5.00     0.68    -5.08     0.18     0.29    -0.00     5.15     0.71     0.00   -17.69    -3.45    22.05    25.76    10.70
    10.00     1.53    -5.18     0.32     0.56     0.00     4.83    -4.02     0.00   -17.15    -3.47    22.15    26.12    10.78
    15.00     2.56    -5.28     0.41     0.83     0.00     4.49    -8.72     0.00   -16.59    -3.48    22.25    26.47    10.86
    20.00     3.76    -5.39     0.46     1.10    -0.00     4.15   -13.39     0.00   -16.03    -3.49    22.36    26.80    10.94
    25.00     5.12    -5.50     0.48     1.35    -0.00     3.81   -18.03     0.00   -15.46    -3.50    22.47    27.12    11.02
    30.00     6.64    -5.63     0.46     1.61    -0.00     3.47   -22.62     0.00   -14.88    -3.51    22.60    27.42    11.09
    35.00     8.31    -5.76     0.40     1.85     0.00     3.15   -27.16     0.00   -14.29    -3.52    22.73    27.70    11.17
    40.00    10.12    -5.90     0.31     2.09     0.00     2.84   -31.64     0.00   -13.69    -3.53    22.86    27.96    11.24
     0.00     0.00    -5.00     0.00     0.00    -0.00     5.45     5.45     0.00   -18.23    -3.44    21.97    25.37    10.62
    -5.00    -0.49    -4.93    -0.22    -0.29    -0.00     5.72    10.20     0.00   -18.76    -3.43    21.89    24.98    10.54
   -10.00    -0.79    -4.86    -0.49    -0.59    -0.00     5.96    14.95     0.00   -19.29    -3.42    21.82    24.56    10.45
   -15.00    -0.90    -4.81    -0.80    -0.90    -0.00     6.15    19.68     0.00   -19.80    -3.41    21.77    24.13    10.37
   -20.00    -0.81    -4.76    -1.17    -1.22    -0.00     6.27    24.37     0.00   -20.31    -3.39    21.72    23.68    10.28
   -25.00    -0.56    -4.73    -1.53    -1.50    -0.00     6.31    28.51     0.00   -20.76    -3.38    21.68    23.27    10.20
   -30.00    -0.56    -4.73    -1.53    -1.50    -0.00     6.31    28.51     0.00   -20.76    -3.38    21.68    23.27    10.20
   -35.00    -0.56    -4.73    -1.53    -1.50    -0.00     6.31    28.51     0.00   -20.76    -3.38    21.68    23.27    10.20
   -40.00    -0.56    -4.73    -1.53    -1.50    -0.00     6.31    28.51     0.00   -20.76    -3.38    21.68    23.27    10.20
