
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Reciprocal Kinematics                                           Demo data                                           

  WhlTraL  WhlTraR    RCLat   RCVert   RCHeig     ToeL     ToeR  CamberL  CamberR  TotRoll  TransZL  TransZR WhlLoadL WhlLoadR
     [mm]     [mm]     [mm]     [mm]     [mm]    [min]    [min]    [deg]    [deg]    [deg]     [mm]     [mm]      [N]      [N]

     0.00     0.00    -0.00     5.45     5.45     0.00     0.00    -5.00    -5.00    -0.00     0.00     0.00   559.96   559.96
     0.00     5.00    37.61     5.21     3.00    -0.47     1.14    -5.00    -5.08    -0.13     0.41     3.97   458.73   806.00
     0.00    10.00   314.97     3.63    -0.76    -0.96     2.47    -5.00    -5.17    -0.25     0.84     7.86   353.39  1073.35
     0.00    15.00  -234.42     6.65     0.12    -1.46     3.97    -5.00    -5.27    -0.38     1.29    11.66   244.22  1360.89
     0.00    20.00  -128.00     6.02    -2.63    -1.97     5.62    -5.00    -5.37    -0.49     1.75    15.38   131.49  1667.60
     0.00    25.00  -101.41     5.83    -4.90    -2.49     7.42    -5.00    -5.48    -0.61     2.22    19.02    15.38  1992.59
     0.00    30.00   -71.95     5.31    -8.60    -2.48     9.14    -5.04    -5.60    -0.66     4.70    22.83     0.00  2276.05
     0.00    35.00   -56.30     4.90   -12.32    -2.32    10.95    -5.09    -5.72    -0.70     7.46    26.63     0.00  2563.19
     0.00    40.00   -47.06     4.56   -15.96    -2.11    12.89    -5.14    -5.85    -0.73    10.22    30.37     0.00  2862.41
     0.00     0.00    -0.00     5.45     5.45     0.00     0.00    -5.00    -5.00    -0.00     0.00     0.00   559.96   559.96
     0.00    -5.00   -13.73     5.56     7.80     0.45    -0.94    -5.00    -4.92     0.13    -0.40    -4.07   656.70   336.49
     0.00   -10.00   -19.81     5.61    10.15     0.89    -1.66    -5.00    -4.86     0.27    -0.77    -8.24   748.50   136.98
     0.00   -15.00   -21.91     5.64    11.97     1.21    -2.05    -5.00    -4.81     0.38    -1.04   -11.54   815.78     0.00
     0.00   -20.00   -21.91     5.64    11.97     1.21    -2.05    -5.00    -4.81     0.38    -1.04   -11.54   815.78     0.00
     0.00   -25.00   -21.91     5.64    11.97     1.21    -2.05    -5.00    -4.81     0.38    -1.04   -11.54   815.78     0.00
     0.00   -30.00   -21.91     5.64    11.97     1.21    -2.05    -5.00    -4.81     0.38    -1.04   -11.54   815.78     0.00
     0.00   -35.00   -21.91     5.64    11.97     1.21    -2.05    -5.00    -4.81     0.38    -1.04   -11.54   815.78     0.00
     0.00   -40.00   -21.91     5.64    11.97     1.21    -2.05    -5.00    -4.81     0.38    -1.04   -11.54   815.78     0.00
     5.00     0.00   -37.61     5.21     3.00     1.14    -0.47    -5.08    -5.00     0.13     3.97     0.41   806.00   458.73
     5.00     5.00     0.00     5.15     0.71     0.68     0.68    -5.08    -5.08     0.00     4.40     4.40   700.51   700.51
     5.00    10.00   -73.91     5.16    -1.47     0.19     2.01    -5.08    -5.18    -0.12     4.85     8.31   590.91   963.93
     5.00    15.00   -62.05     5.11    -3.68    -0.30     3.51    -5.08    -5.27    -0.25     5.31    12.12   477.53  1247.81
     5.00    20.00   -59.40     5.07    -5.86    -0.81     5.17    -5.08    -5.38    -0.36     5.79    15.85   360.62  1551.07
     5.00    25.00   -58.31     5.02    -8.00    -1.32     6.98    -5.08    -5.49    -0.48     6.28    19.51   240.40  1872.79
     5.00    30.00   -57.65     4.98   -10.12    -1.85     8.91    -5.08    -5.60    -0.59     6.79    23.09   117.05  2212.13
     5.00    35.00   -56.30     4.90   -12.32    -2.32    10.95    -5.09    -5.72    -0.70     7.46    26.63     0.00  2563.19
     5.00    40.00   -47.06     4.56   -15.96    -2.11    12.89    -5.14    -5.85    -0.73    10.22    30.37     0.00  2862.41
     5.00     0.00   -37.61     5.21     3.00     1.14    -0.47    -5.08    -5.00     0.13     3.97     0.41   806.00   458.73
     5.00    -5.00   -40.74     5.24     5.30     1.60    -1.41    -5.08    -4.92     0.26     3.56    -3.67   906.99   239.94
     5.00   -10.00   -40.33     5.27     7.63     2.03    -2.13    -5.08    -4.85     0.40     3.17    -7.86  1003.00    45.62
     5.00   -15.00   -39.96     5.27     8.23     2.14    -2.27    -5.08    -4.84     0.43     3.07    -8.95  1026.71     0.00
     5.00   -20.00   -39.96     5.27     8.23     2.14    -2.27    -5.08    -4.84     0.43     3.07    -8.95  1026.71     0.00
     5.00   -25.00   -39.96     5.27     8.23     2.14    -2.27    -5.08    -4.84     0.43     3.07    -8.95  1026.71     0.00
     5.00   -30.00   -39.96     5.27     8.23     2.14    -2.27    -5.08    -4.84     0.43     3.07    -8.95  1026.71     0.00
     5.00   -35.00   -39.96     5.27     8.23     2.14    -2.27    -5.08    -4.84     0.43     3.07    -8.95  1026.71     0.00
     5.00   -40.00   -39.96     5.27     8.23     2.14    -2.27    -5.08    -4.84     0.43     3.07    -8.95  1026.71     0.00
    10.00     0.00  -314.97     3.63    -0.76     2.47    -0.96    -5.17    -5.00     0.25     7.86     0.84  1073.35   353.39
    10.00     5.00    73.91     5.16    -1.47     2.01     0.19    -5.18    -5.08     0.12     8.31     4.85   963.93   590.91
    10.00    10.00     0.00     4.83    -4.02     1.53     1.53    -5.18    -5.18    -0.00     8.77     8.77   850.44   850.44
