
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Steering Kinematics Design Position                             Demo data                                           

  TraRack  WhlAngL  WhlAngR  CamberL KPOffset  TrackCh Ackerman TrackDif SteerDif AckError AckPCent StRodAng TrackDia  TurnDia
     [mm]    [deg]    [deg]    [deg]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]      [%]    [deg]      [m]      [m]

     0.00    -0.00     0.00    -5.00    -3.44     0.00     0.00    -0.00    -0.00     0.00     0.00    74.48 ******** ********
    10.00     3.02     3.01    -4.43    -3.58    -0.65     2.93     0.09     0.01     0.08    15.38    71.78   103.55   104.05
    20.00     6.06     6.00    -3.79    -3.71    -2.60     5.70     0.36     0.06     0.30    15.71    69.14    51.92    52.47
    30.00     9.12     9.00    -3.08    -3.82    -5.85     8.35     0.78     0.12     0.65    15.97    66.57    34.72    35.32
    40.00    12.22    12.00    -2.29    -3.94   -10.39    10.87     1.35     0.22     1.13    16.16    64.05    26.12    26.78
    50.00    15.35    15.02    -1.44    -4.08   -16.20    13.30     2.05     0.33     1.71    16.27    61.60    20.96    21.67
    60.00    18.52    18.05    -0.51    -4.24   -23.26    15.65     2.87     0.47     2.40    16.26    59.21    17.52    18.29
    70.00    21.74    21.12     0.50    -4.45   -31.55    17.94     3.80     0.61     3.19    16.12    56.87    15.07    15.88
     0.00    -0.00     0.00    -5.00    -3.44     0.00     0.00    -0.00    -0.00     0.00     0.00    74.48 ******** ********
   -10.00    -3.01    -3.02    -5.51    -3.28    -0.65    -2.93    -0.09    -0.01    -0.08    15.38    77.25   103.55   104.05
   -20.00    -6.00    -6.06    -5.95    -3.08    -2.60    -5.70    -0.36    -0.06    -0.30    15.71    80.09    51.92    52.47
   -30.00    -9.00    -9.12    -6.32    -2.84    -5.85    -8.35    -0.78    -0.12    -0.65    15.97    83.01    34.72    35.32
   -40.00   -12.00   -12.22    -6.64    -2.55   -10.39   -10.87    -1.35    -0.22    -1.13    16.16    86.02    26.12    26.78
   -50.00   -15.02   -15.35    -6.89    -2.22   -16.20   -13.30    -2.05    -0.33    -1.71    16.27    89.11    20.96    21.67
   -60.00   -18.05   -18.52    -7.07    -1.84   -23.26   -15.65    -2.87    -0.47    -2.40    16.26    92.30    17.52    18.29
   -70.00   -21.12   -21.74    -7.19    -1.41   -31.55   -17.94    -3.80    -0.61    -3.19    16.12    95.59    15.07    15.88
