
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque X at Wheel Center                           Demo data                                           

   WhTra  TorquX_L TorquX_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.02     0.00    -0.01    -0.00     0.11    -0.00     5.02    -5.00     0.02     0.00    -0.04     0.00   532.21   560.21
     0.00  -100.00     0.00    -0.02    -0.00     0.01     0.00    -0.11     0.00     4.98    -5.00    -0.02    -0.00     0.04    -0.00   587.65   559.70
     0.00     0.00   100.00    -0.00    -0.02    -0.00    -0.01     0.00    -0.11     5.00    -4.98    -0.00    -0.02     0.00    -0.04   559.70   587.65
     0.00     0.00  -100.00     0.00     0.02     0.00     0.01    -0.00     0.11     5.00    -5.02     0.00     0.02    -0.00     0.04   560.21   532.21
     5.00   100.00     0.00    -0.26    -0.28    -0.37     0.36     4.52     4.41     5.10    -5.08    -0.05    -0.07    -0.05     0.01   669.99   700.44
     5.00  -100.00     0.00    -0.31    -0.28    -0.35     0.36     4.29     4.40     5.06    -5.08    -0.09    -0.07     0.02     0.01   730.96   700.57
     5.00     0.00   100.00    -0.28    -0.31    -0.36     0.35     4.40     4.29     5.08    -5.06    -0.07    -0.09    -0.01    -0.02   700.57   730.96
     5.00     0.00  -100.00    -0.28    -0.26    -0.36     0.37     4.41     4.52     5.08    -5.10    -0.07    -0.05    -0.01     0.05   700.44   669.99
    10.00   100.00     0.00    -0.54    -0.56    -0.81     0.79     8.90     8.77     5.20    -5.18    -0.11    -0.14    -0.06     0.03   817.31   850.00
    10.00  -100.00     0.00    -0.58    -0.56    -0.78     0.79     8.64     8.77     5.15    -5.18    -0.16    -0.14     0.01     0.03   883.48   850.86
    10.00     0.00   100.00    -0.56    -0.58    -0.79     0.78     8.77     8.64     5.18    -5.15    -0.14    -0.16    -0.03    -0.01   850.86   883.48
    10.00     0.00  -100.00    -0.56    -0.54    -0.79     0.81     8.77     8.90     5.18    -5.20    -0.14    -0.11    -0.03     0.06   850.00   817.31
    15.00   100.00     0.00    -0.81    -0.83    -1.31     1.29    13.23    13.09     5.30    -5.28    -0.17    -0.20    -0.08     0.04   974.32  1009.06
    15.00  -100.00     0.00    -0.85    -0.83    -1.27     1.29    12.95    13.09     5.26    -5.28    -0.22    -0.20    -0.01     0.04  1045.38  1010.71
    15.00     0.00   100.00    -0.83    -0.85    -1.29     1.27    13.09    12.95     5.28    -5.26    -0.20    -0.22    -0.04     0.01  1010.71  1045.38
    15.00     0.00  -100.00    -0.83    -0.81    -1.29     1.31    13.09    13.23     5.28    -5.30    -0.20    -0.17    -0.04     0.08  1009.06   974.32
    20.00   100.00     0.00    -1.08    -1.10    -1.87     1.85    17.52    17.38     5.41    -5.39    -0.24    -0.26    -0.10     0.06  1141.13  1177.75
    20.00  -100.00     0.00    -1.12    -1.10    -1.82     1.85    17.22    17.37     5.36    -5.39    -0.28    -0.26    -0.03     0.06  1216.81  1180.27
    20.00     0.00   100.00    -1.10    -1.12    -1.85     1.82    17.37    17.22     5.39    -5.36    -0.26    -0.28    -0.06     0.03  1180.27  1216.81
    20.00     0.00  -100.00    -1.10    -1.08    -1.85     1.87    17.38    17.52     5.39    -5.41    -0.26    -0.24    -0.06     0.10  1177.75  1141.13
    25.00   100.00     0.00    -1.34    -1.35    -2.49     2.47    21.76    21.61     5.52    -5.50    -0.29    -0.32    -0.12     0.09  1317.85  1356.21
