
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Y at Wheel Center                           Demo data                                           

   WhTra  TorquY_L TorquY_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00     0.06     0.00     0.00    -0.00    -0.08    -0.03     5.02    -5.00     0.08     0.00    -0.07     0.00   578.52   566.24
     0.00  -100.00     0.00    -0.06    -0.00    -0.00     0.00     0.08     0.03     4.98    -5.00    -0.08    -0.00     0.07    -0.00   541.75   553.69
     0.00     0.00   100.00     0.00     0.06     0.00    -0.00    -0.03    -0.08     5.00    -5.02     0.00     0.08    -0.00     0.07   566.24   578.52
     0.00     0.00  -100.00    -0.00    -0.06    -0.00     0.00     0.03     0.08     5.00    -4.98    -0.00    -0.08     0.00    -0.07   553.69   541.75
     5.00   100.00     0.00    -0.23    -0.28    -0.36     0.36     4.33     4.38     5.11    -5.08     0.01    -0.07    -0.08     0.01   717.54   707.24
     5.00  -100.00     0.00    -0.34    -0.29    -0.37     0.36     4.48     4.43     5.06    -5.08    -0.15    -0.07     0.06     0.01   683.81   693.80
     5.00     0.00   100.00    -0.28    -0.23    -0.36     0.36     4.38     4.33     5.08    -5.11    -0.07     0.01    -0.01     0.08   707.24   717.54
     5.00     0.00  -100.00    -0.29    -0.34    -0.36     0.37     4.43     4.48     5.08    -5.06    -0.07    -0.15    -0.01    -0.06   693.80   683.81
    10.00   100.00     0.00    -0.51    -0.56    -0.79     0.79     8.70     8.74     5.20    -5.18    -0.06    -0.13    -0.10     0.03   866.00   857.55
    10.00  -100.00     0.00    -0.62    -0.56    -0.80     0.80     8.84     8.80     5.15    -5.18    -0.21    -0.14     0.05     0.03   835.18   843.34
    10.00     0.00   100.00    -0.56    -0.51    -0.79     0.79     8.74     8.70     5.18    -5.20    -0.13    -0.06    -0.03     0.10   857.55   866.00
    10.00     0.00  -100.00    -0.56    -0.62    -0.80     0.80     8.80     8.84     5.18    -5.15    -0.14    -0.21    -0.03    -0.05   843.34   835.18
    15.00   100.00     0.00    -0.78    -0.83    -1.28     1.28    13.03    13.06     5.30    -5.28    -0.12    -0.20    -0.11     0.04  1024.05  1017.35
    15.00  -100.00     0.00    -0.89    -0.83    -1.29     1.29    13.15    13.12     5.25    -5.28    -0.28    -0.20     0.03     0.04   996.03  1002.46
    15.00     0.00   100.00    -0.83    -0.78    -1.28     1.28    13.06    13.03     5.28    -5.30    -0.20    -0.12    -0.04     0.11  1017.35  1024.05
    15.00     0.00  -100.00    -0.83    -0.89    -1.29     1.29    13.12    13.15     5.28    -5.25    -0.20    -0.28    -0.04    -0.03  1002.46   996.03
    20.00   100.00     0.00    -1.04    -1.10    -1.84     1.84    17.31    17.34     5.41    -5.39    -0.18    -0.26    -0.13     0.06  1191.83  1186.76
    20.00  -100.00     0.00    -1.15    -1.10    -1.85     1.85    17.43    17.40     5.36    -5.39    -0.34    -0.26     0.01     0.06  1166.48  1171.30
    20.00     0.00   100.00    -1.10    -1.04    -1.84     1.84    17.34    17.31     5.39    -5.41    -0.26    -0.18    -0.06     0.13  1186.76  1191.83
    20.00     0.00  -100.00    -1.10    -1.15    -1.85     1.85    17.40    17.43     5.39    -5.36    -0.26    -0.34    -0.06    -0.01  1171.30  1166.48
    25.00   100.00     0.00    -1.30    -1.35    -2.46     2.46    21.55    21.57     5.53    -5.50    -0.24    -0.31    -0.16     0.09  1369.45  1365.92
    25.00  -100.00     0.00    -1.41    -1.35    -2.48     2.47    21.66    21.64     5.48    -5.50    -0.39    -0.32    -0.02     0.08  1346.67  1349.97
    25.00     0.00   100.00    -1.35    -1.30    -2.46     2.46    21.57    21.55     5.50    -5.53    -0.31    -0.24    -0.09     0.16  1365.92  1369.45
    25.00     0.00  -100.00    -1.35    -1.41    -2.47     2.48    21.64    21.66     5.50    -5.48    -0.32    -0.39    -0.08     0.02  1349.97  1346.67
    30.00   100.00     0.00    -1.55    -1.60    -3.14     3.14    25.75    25.77     5.65    -5.63    -0.29    -0.37    -0.18     0.11  1556.99  1554.91
    30.00  -100.00     0.00    -1.66    -1.61    -3.16     3.16    25.85    25.83     5.60    -5.63    -0.45    -0.37    -0.04     0.11  1536.70  1538.56
    30.00     0.00   100.00    -1.60    -1.55    -3.14     3.14    25.77    25.75     5.63    -5.65    -0.37    -0.29    -0.11     0.18  1554.91  1556.99
    30.00     0.00  -100.00    -1.61    -1.66    -3.16     3.16    25.83    25.85     5.63    -5.60    -0.37    -0.45    -0.11     0.04  1538.56  1536.70
    35.00   100.00     0.00    -1.80    -1.85    -3.88     3.88    29.91    29.92     5.78    -5.76    -0.35    -0.42    -0.21     0.14  1754.56  1753.85
    35.00  -100.00     0.00    -1.90    -1.85    -3.89     3.89    29.99    29.98     5.73    -5.76    -0.50    -0.42    -0.07     0.14  1736.65  1737.16
    35.00     0.00   100.00    -1.85    -1.80    -3.88     3.88    29.92    29.91     5.76    -5.78    -0.42    -0.35    -0.14     0.21  1753.85  1754.56
    35.00     0.00  -100.00    -1.85    -1.90    -3.89     3.89    29.98    29.99     5.76    -5.73    -0.42    -0.50    -0.14     0.07  1737.16  1736.65
    40.00   100.00     0.00    -2.04    -2.09    -4.67     4.67    34.02    34.02     5.92    -5.90    -0.39    -0.47    -0.24     0.17  1962.21  1962.79
    40.00  -100.00     0.00    -2.14    -2.09    -4.69     4.69    34.09    34.09     5.87    -5.90    -0.54    -0.47    -0.10     0.17  1946.61  1945.83
    40.00     0.00   100.00    -2.09    -2.04    -4.67     4.67    34.02    34.02     5.90    -5.92    -0.47    -0.39    -0.17     0.24  1962.79  1962.21
    40.00     0.00  -100.00    -2.09    -2.14    -4.69     4.69    34.09    34.09     5.90    -5.87    -0.47    -0.54    -0.17     0.10  1945.83  1946.61
    -5.00   100.00     0.00     0.35     0.29     0.29    -0.29    -4.53    -4.47     4.95    -4.93     0.15     0.07    -0.07    -0.01   448.75   434.36
    -5.00  -100.00     0.00     0.23     0.29     0.29    -0.29    -4.36    -4.42     4.90    -4.93    -0.01     0.07     0.08    -0.01   408.81   422.84
    -5.00     0.00   100.00     0.29     0.35     0.29    -0.29    -4.47    -4.53     4.93    -4.95     0.07     0.15     0.01     0.07   434.36   448.75
    -5.00     0.00  -100.00     0.29     0.23     0.29    -0.29    -4.42    -4.36     4.93    -4.90     0.07    -0.01     0.01    -0.08   422.84   408.81
   -10.00   100.00     0.00     0.66     0.59     0.51    -0.51    -9.03    -8.95     4.89    -4.86     0.23     0.15    -0.06    -0.01   328.01   311.38
   -10.00  -100.00     0.00     0.53     0.59     0.51    -0.51    -8.84    -8.91     4.84    -4.86     0.07     0.15     0.09    -0.01   284.76   301.00
   -10.00     0.00   100.00     0.59     0.66     0.51    -0.51    -8.95    -9.03     4.86    -4.89     0.15     0.23     0.01     0.06   311.38   328.01
   -10.00     0.00  -100.00     0.59     0.53     0.51    -0.51    -8.91    -8.84     4.86    -4.84     0.15     0.07     0.01    -0.09   301.00   284.76
   -15.00   100.00     0.00     0.97     0.90     0.65    -0.65   -13.56   -13.47     4.83    -4.81     0.31     0.23    -0.06    -0.01   216.02   197.02
   -15.00  -100.00     0.00     0.83     0.90     0.65    -0.65   -13.35   -13.43     4.78    -4.81     0.14     0.23     0.09    -0.02   169.34   187.91
