
  ----------------------------------------------------------------------------------------------------------------------------
  IPGKinematics  Version 3.6.11                                           Model: Querlenker                                   
  ----------------------------------------------------------------------------------------------------------------------------

   Table: Compliance - Torque Z at Wheel Center                           Demo data                                           

   WhTra  TorquZ_L TorquZ_R   TraX_L   TraX_R   TraY_L   TraY_R   TraZ_L   TraZ_R   RotX_L   RotX_R   RotY_L   RotY_R   RotZ_L   RotZ_R WhlLoadL WhlLoadR
     [mm]     [Nm]     [Nm]     [mm]     [mm]     [mm]     [mm]     [mm]     [mm]    [deg]    [deg]    [deg]    [deg]    [deg]    [deg]      [N]      [N]

     0.00   100.00     0.00    -0.26    -0.00     0.06     0.00    -0.02     0.01     4.97    -5.00    -0.07    -0.00     0.17    -0.00   567.62   557.97
     0.00  -100.00     0.00     0.26     0.00    -0.06    -0.00     0.02    -0.01     5.03    -5.00     0.07     0.00    -0.17     0.00   552.80   562.00
     0.00     0.00   100.00     0.00     0.26     0.00     0.06    -0.01     0.02     5.00    -5.03     0.00     0.07    -0.00     0.17   562.00   552.80
     0.00     0.00  -100.00    -0.00    -0.26    -0.00    -0.06     0.01    -0.02     5.00    -4.97    -0.00    -0.07     0.00    -0.17   557.97   567.62
     5.00   100.00     0.00    -0.54    -0.29    -0.30     0.36     4.38     4.41     5.05    -5.08    -0.14    -0.07     0.15     0.01   709.16   698.50
     5.00  -100.00     0.00    -0.03    -0.28    -0.42     0.36     4.43     4.40     5.12    -5.08    -0.00    -0.07    -0.18     0.01   692.31   702.57
     5.00     0.00   100.00    -0.28    -0.03    -0.36     0.42     4.40     4.43     5.08    -5.12    -0.07    -0.00    -0.01     0.18   702.57   692.31
     5.00     0.00  -100.00    -0.29    -0.54    -0.36     0.30     4.41     4.38     5.08    -5.05    -0.07    -0.14    -0.01    -0.15   698.50   709.16
    10.00   100.00     0.00    -0.82    -0.56    -0.73     0.79     8.74     8.78     5.14    -5.18    -0.20    -0.14     0.14     0.03   860.01   848.43
    10.00  -100.00     0.00    -0.31    -0.56    -0.85     0.79     8.80     8.76     5.21    -5.18    -0.07    -0.14    -0.19     0.03   841.27   852.48
